en	lt	lv	pl	de	ru	uk
Tap a row to move the result to the calculator.	Bakstelėkite eilutę, kad rezultatą perkeltumėte į skaičiuotuvą.	Pieskarieties rindai, lai pārnestu rezultātu uz kalkulatoru.	Dotknij wiersza, aby przenieść wynik do kalkulatora.	Tippe auf eine Zeile, um das Ergebnis in den Rechner zu übernehmen.	Нажмите на строку, чтобы перенести результат в калькулятор.	Торкніться рядка, щоб перенести результат у калькулятор.
Without VAT (amount incl. VAT)	Be PVM (suma su PVM)	Bez PVN (summa ar PVN)	Bez VAT (kwota z VAT)	Ohne MwSt (Betrag inkl. MwSt)	Без НДС (сумма с НДС)	Без ПДВ (сума з ПДВ)
Divide by {}: x = {} ÷ {}	Daliname iš {}: x = {} ÷ {}	Dalām ar {}: x = {} ÷ {}	Dzielimy przez {}: x = {} ÷ {}	Durch {} teilen: x = {} ÷ {}	Делим на {}: x = {} ÷ {}	Ділимо на {}: x = {} ÷ {}
Split between people	Dalinti asmenims	Sadalīt starp cilvēkiem	Podziel na osoby	Auf Personen aufteilen	Разделить на людей	Поділити на людей
European Central Bank rates, {}. {}	Europos centrinio banko kursai, {}. {}	Eiropas Centrālās bankas kursi, {}. {}	Kursy Europejskiego Banku Centralnego, {}. {}	Kurse der Europäischen Zentralbank, {}. {}	Курсы Европейского центрального банка, {}. {}	Курси Європейського центрального банку, {}. {}
Take photo	Fotografuoti	Fotografēt	Zrób zdjęcie	Foto aufnehmen	Сфотографировать	Сфотографувати
History is empty. Your calculations will appear here.	Istorija tuščia. Čia matysite atliktus skaičiavimus.	Vēsture ir tukša. Šeit redzēsiet aprēķinus.	Historia jest pusta. Tu pojawią się obliczenia.	Der Verlauf ist leer. Hier erscheinen deine Rechnungen.	История пуста. Здесь появятся ваши вычисления.	Історія порожня. Тут з'являться ваші обчислення.
From gallery	Iš galerijos	No galerijas	Z galerii	Aus Galerie	Из галереи	З галереї
Total	Iš viso	Kopā	Razem	Gesamt	Итого	Разом
From: {}  ▾	Iš: {}  ▾	No: {}  ▾	Z: {}  ▾	Von: {}  ▾	Из: {}  ▾	З: {}  ▾
To: {}  ▾	Į: {}  ▾	Uz: {}  ▾	Na: {}  ▾	Nach: {}  ▾	В: {}  ▾	У: {}  ▾
Off	Išjungta	Izslēgts	Wyłączone	Aus	Выкл.	Вимк.
No number in clipboard	Iškarpinėje nėra skaičiaus	Starpliktuvē nav skaitļa	Brak liczby w schowku	Keine Zahl in der Zwischenablage	В буфере нет числа	У буфері немає числа
If recognition is wrong, tap "Edit in calculator", fix it and press "=".	Jei atpažinta neteisingai, bakstelėkite „Taisyti skaičiuotuve“, pataisykite ir spauskite „=“.	Ja atpazīts nepareizi, pieskarieties "Labot kalkulatorā", izlabojiet un nospiediet "=".	Jeśli rozpoznano błędnie, dotknij „Edytuj w kalkulatorze”, popraw i naciśnij „=”.	Falls falsch erkannt, tippe auf „Im Rechner bearbeiten“, korrigiere und drücke „=“.	Если распознано неверно, нажмите «Изменить в калькуляторе», исправьте и нажмите «=».	Якщо розпізнано неправильно, натисніть «Змінити в калькуляторі», виправте й натисніть «=».
Angle unit	Kampų vienetai	Leņķa mērvienība	Jednostka kąta	Winkeleinheit	Единицы углов	Одиниці кутів
Copy	Kopijuoti	Kopēt	Kopiuj	Kopieren	Копировать	Копіювати
Rates not downloaded yet. Internet needed. {}	Kursai dar neatsisiųsti. Reikia interneto. {}	Kursi vēl nav lejupielādēti. Vajag internetu. {}	Kursy jeszcze nie pobrane. Potrzebny internet. {}	Kurse noch nicht geladen. Internet nötig. {}	Курсы ещё не загружены. Нужен интернет. {}	Курси ще не завантажені. Потрібен інтернет. {}
Quadratic equation: a = {}, b = {}, c = {}	Kvadratinė lygtis: a = {}, b = {}, c = {}	Kvadrātvienādojums: a = {}, b = {}, c = {}	Równanie kwadratowe: a = {}, b = {}, c = {}	Quadratische Gleichung: a = {}, b = {}, c = {}	Квадратное уравнение: a = {}, b = {}, c = {}	Квадратне рівняння: a = {}, b = {}, c = {}
Degrees	Laipsniai	Grādi	Stopnie	Grad	Градусы	Градуси
Updates: github.com/{}\nCalculator written in Rust.	Naujiniai: github.com/{}\nSkaičiuotuvas parašytas Rust kalba.	Atjauninājumi: github.com/{}\nKalkulators rakstīts Rust valodā.	Aktualizacje: github.com/{}\nKalkulator napisany w Rust.	Updates: github.com/{}\nRechner in Rust geschrieben.	Обновления: github.com/{}\nКалькулятор написан на Rust.	Оновлення: github.com/{}\nКалькулятор написаний на Rust.
Take a photo of a printed problem, e.g. "2x + 3 = 11" or "125 : 5 =". The app finds the problem in the photo and solves it.\n\nWorks offline.	Nufotografuokite spausdintą uždavinį, pvz. „2x + 3 = 11“ ar „125 : 5 =“. Programa suras uždavinį nuotraukoje ir jį išspręs.\n\nVeikia be interneto.	Nofotografējiet drukātu uzdevumu, piem. "2x + 3 = 11" vai "125 : 5 =". Lietotne atradīs uzdevumu foto un to atrisinās.\n\nDarbojas bez interneta.	Zrób zdjęcie drukowanego zadania, np. „2x + 3 = 11” lub „125 : 5 =”. Aplikacja znajdzie zadanie na zdjęciu i je rozwiąże.\n\nDziała offline.	Fotografiere eine gedruckte Aufgabe, z. B. „2x + 3 = 11“ oder „125 : 5 =“. Die App findet die Aufgabe im Foto und löst sie.\n\nFunktioniert offline.	Сфотографируйте печатную задачу, например «2x + 3 = 11» или «125 : 5 =». Приложение найдёт задачу на фото и решит её.\n\nРаботает без интернета.	Сфотографуйте друковану задачу, напр. «2x + 3 = 11» або «125 : 5 =». Застосунок знайде задачу на фото й розв'яже її.\n\nПрацює без інтернету.
Copied	Nukopijuota	Nokopēts	Skopiowano	Kopiert	Скопировано	Скопійовано
No problem found in the photo.	Nuotraukoje neradau uždavinio.	Foto netika atrasts uzdevums.	Nie znaleziono zadania na zdjęciu.	Keine Aufgabe im Foto gefunden.	Задача на фото не найдена.	Задачу на фото не знайдено.
No problem found in the photo. Move closer so the numbers are sharp.	Nuotraukoje neradau uždavinio. Fotografuokite arčiau, kad skaičiai būtų ryškūs.	Foto netika atrasts uzdevums. Fotografējiet tuvāk, lai skaitļi būtu asi.	Nie znaleziono zadania. Zrób zdjęcie bliżej, aby liczby były ostre.	Keine Aufgabe gefunden. Geh näher heran, damit die Zahlen scharf sind.	Задача не найдена. Снимите ближе, чтобы цифры были чёткими.	Задачу не знайдено. Знімайте ближче, щоб цифри були чіткими.
VAT {} %	PVM {} %	PVN {} %	VAT {} %	MwSt {} %	НДС {} %	ПДВ {} %
VAT from amount	PVM nuo sumos	PVN no summas	VAT od kwoty	MwSt vom Betrag	НДС от суммы	ПДВ від суми
VAT inside amount incl. VAT	PVM sumoje su PVM	PVN summā ar PVN	VAT w kwocie z VAT	MwSt im Betrag inkl. MwSt	НДС в сумме с НДС	ПДВ у сумі з ПДВ
Move terms: {}x = {}	Perkeliame narius: {}x = {}	Pārnesam locekļus: {}x = {}	Przenosimy wyrazy: {}x = {}	Terme umstellen: {}x = {}	Переносим члены: {}x = {}	Переносимо члени: {}x = {}
Move result to calculator	Perkelti rezultatą į skaičiuotuvą	Pārnest rezultātu uz kalkulatoru	Przenieś wynik do kalkulatora	Ergebnis in den Rechner	Перенести результат в калькулятор	Перенести результат у калькулятор
Radians	Radianai	Radiāni	Radiany	Bogenmaß	Радианы	Радіани
No real solutions	Realių sprendinių nėra	Nav reālu atrisinājumu	Brak rozwiązań rzeczywistych	Keine reellen Lösungen	Нет действительных решений	Немає дійсних розв'язків
Value is taken from the calculator display.	Reikšmė imama iš skaičiuotuvo ekrano.	Vērtība tiek ņemta no kalkulatora ekrāna.	Wartość jest pobierana z ekranu kalkulatora.	Der Wert kommt aus der Rechneranzeige.	Значение берётся с экрана калькулятора.	Значення береться з екрана калькулятора.
No solutions	Sprendinių nėra	Nav atrisinājumu	Brak rozwiązań	Keine Lösungen	Нет решений	Немає розв'язків
With VAT (+{} %)	Su PVM (+{} %)	Ar PVN (+{} %)	Z VAT (+{} %)	Mit MwSt (+{} %)	С НДС (+{} %)	З ПДВ (+{} %)
Amount (from calculator)	Suma (iš skaičiuotuvo)	Summa (no kalkulatora)	Kwota (z kalkulatora)	Betrag (vom Rechner)	Сумма (из калькулятора)	Сума (з калькулятора)
Edit in calculator	Taisyti skaičiuotuve	Labot kalkulatorā	Edytuj w kalkulatorze	Im Rechner bearbeiten	Изменить в калькуляторе	Змінити в калькуляторі
Dark	Tamsi	Tumšs	Ciemny	Dunkel	Тёмная	Темна
Theme	Tema	Motīvs	Motyw	Design	Тема	Тема
Checking for updates…	Tikrinami naujiniai…	Pārbauda atjauninājumus…	Sprawdzanie aktualizacji…	Suche nach Updates…	Проверка обновлений…	Перевірка оновлень…
Check	Tikrinti	Pārbaudīt	Sprawdź	Prüfen	Проверить	Перевірити
Check for updates	Tikrinti naujinius	Pārbaudīt atjauninājumus	Sprawdź aktualizacje	Nach Updates suchen	Проверить обновления	Перевірити оновлення
Any x works	Tinka bet koks x	Der jebkurš x	Każde x jest rozwiązaniem	Jedes x ist Lösung	Подходит любой x	Підходить будь-який x
Problem	Uždavinys	Uzdevums	Zadanie	Aufgabe	Задача	Задача
Version	Versija	Versija	Wersja	Version	Версия	Версія
Vibrate on tap	Vibracija paspaudus	Vibrācija pieskaroties	Wibracja przy dotyku	Vibration beim Tippen	Вибрация при нажатии	Вібрація при натисканні
Per person	Vienam asmeniui	Uz vienu cilvēku	Na osobę	Pro Person	На человека	На людину
On	Įjungta	Ieslēgts	Włączone	An	Вкл.	Увімк.
Pasted	Įklijuota	Ielīmēts	Wklejono	Eingefügt	Вставлено	Вставлено
Paste	Įklijuoti	Ielīmēt	Wklej	Einfügen	Вставить	Вставити
Light	Šviesi	Gaišs	Jasny	Hell	Светлая	Світла
Language	Kalba	Valoda	Język	Sprache	Язык	Мова
Phone language	Telefono kalba	Tālruņa valoda	Język telefonu	Telefonsprache	Язык телефона	Мова телефону
Updating rates…	Atnaujinami kursai…	Atjaunina kursus…	Aktualizacja kursów…	Kurse werden aktualisiert…	Обновление курсов…	Оновлення курсів…
Downloading {}…	Atsisiunčiamas {}…	Lejupielādē {}…	Pobieranie {}…	Lade {}…	Загрузка {}…	Завантаження {}…
Clipboard is empty	Iškarpinė tuščia	Starpliktuve ir tukša	Schowek jest pusty	Zwischenablage ist leer	Буфер обмена пуст	Буфер обміну порожній
Allow the app to see photos and try again.	Leiskite programai matyti nuotraukas ir bandykite dar kartą.	Atļaujiet lietotnei redzēt foto un mēģiniet vēlreiz.	Zezwól aplikacji na dostęp do zdjęć i spróbuj ponownie.	Erlaube der App den Zugriff auf Fotos und versuche es erneut.	Разрешите приложению доступ к фото и попробуйте снова.	Дозвольте застосунку доступ до фото й спробуйте ще раз.
Update {} - tap to install	Naujinys {} - bakstelėkite įdiegti	Atjauninājums {} - pieskarieties, lai instalētu	Aktualizacja {} - dotknij, aby zainstalować	Update {} - zum Installieren tippen	Обновление {} - нажмите для установки	Оновлення {} - натисніть, щоб встановити
Could not open the camera	Nepavyko atidaryti kameros	Neizdevās atvērt kameru	Nie udało się otworzyć aparatu	Kamera konnte nicht geöffnet werden	Не удалось открыть камеру	Не вдалося відкрити камеру
Could not open the photo	Nepavyko atidaryti nuotraukos	Neizdevās atvērt foto	Nie udało się otworzyć zdjęcia	Foto konnte nicht geöffnet werden	Не удалось открыть фото	Не вдалося відкрити фото
Could not update rates (showing last known)	Nepavyko atnaujinti kursų (rodomi paskutiniai žinomi)	Neizdevās atjaunināt kursus (rāda pēdējos zināmos)	Nie udało się zaktualizować kursów (ostatnie znane)	Kurse nicht aktualisiert (letzte bekannte)	Не удалось обновить курсы (последние известные)	Не вдалося оновити курси (останні відомі)
No photos found	Nuotraukų nerasta	Foto nav atrasti	Nie znaleziono zdjęć	Keine Fotos gefunden	Фото не найдены	Фото не знайдено
Confirm installing {}	Patvirtinkite {} diegimą	Apstipriniet {} instalēšanu	Potwierdź instalację {}	Installation von {} bestätigen	Подтвердите установку {}	Підтвердіть встановлення {}
{} (tap)	{} (bakstelėkite)	{} (pieskarieties)	{} (dotknij)	{} (tippen)	{} (нажмите)	{} (натисніть)
Loading…	Įkeliama…	Ielādē…	Ładowanie…	Wird geladen…	Загрузка…	Завантаження…
Currency	Valiuta	Valūta	Waluta	Währung	Валюта	Валюта
Length	Ilgis	Garums	Długość	Länge	Длина	Довжина
Weight	Svoris	Svars	Waga	Gewicht	Вес	Вага
Temperature	Temperatūra	Temperatūra	Temperatura	Temperatur	Температура	Температура
Volume	Tūris	Tilpums	Objętość	Volumen	Объём	Об'єм
Area	Plotas	Laukums	Powierzchnia	Fläche	Площадь	Площа
Speed	Greitis	Ātrums	Prędkość	Geschwindigkeit	Скорость	Швидкість
Take the photo and come back - it will be in the list	Nufotografuokite ir grįžkite - nuotrauka bus sąraše	Nofotografējiet un atgriezieties - foto būs sarakstā	Zrób zdjęcie i wróć - będzie na liście	Foto aufnehmen und zurückkehren - es erscheint in der Liste	Сделайте фото и вернитесь - оно будет в списке	Зробіть фото й поверніться - воно буде в списку
Division by zero	Dalyba iš nulio	Dalīšana ar nulli	Dzielenie przez zero	Division durch null	Деление на ноль	Ділення на нуль
Error	Klaida	Kļūda	Błąd	Fehler	Ошибка	Помилка
Too complex	Per sudėtinga	Pārāk sarežģīti	Zbyt złożone	Zu komplex	Слишком сложно	Занадто складно
Could not start the download	Nepavyko pradėti atsisiuntimo	Neizdevās sākt lejupielādi	Nie udało się rozpocząć pobierania	Download konnte nicht starten	Не удалось начать загрузку	Не вдалося почати завантаження
Download failed	Atsisiųsti nepavyko	Lejupielāde neizdevās	Pobieranie nie powiodło się	Download fehlgeschlagen	Загрузка не удалась	Завантаження не вдалося
Could not open the installer	Nepavyko atidaryti diegimo	Neizdevās atvērt instalētāju	Nie udało się otworzyć instalatora	Installer konnte nicht geöffnet werden	Не удалось открыть установщик	Не вдалося відкрити інсталятор
2 unknowns	2 nežinomieji	2 nezināmie	2 niewiadome	2 Unbekannte	2 неизвестных	2 невідомі
3 unknowns	3 nežinomieji	3 nezināmie	3 niewiadome	3 Unbekannte	3 неизвестных	3 невідомі
2×2	2×2	2×2	2×2	2×2	2×2	2×2
3×3	3×3	3×3	3×3	3×3	3×3	3×3
Add	Pridėti	Pievienot	Dodaj	Hinzufügen	Добавить	Додати
Add days	Pridėti dienas	Pieskaitīt dienas	Dodaj dni	Tage addieren	Прибавить дни	Додати дні
Again	Dar kartą	Vēlreiz	Jeszcze raz	Nochmal	Ещё раз	Ще раз
Age	Amžius	Vecums	Wiek	Alter	Возраст	Вік
Amount	Suma	Summa	Kwota	Betrag	Сумма	Сума
Annuity	Anuitetas	Anuitāte	Raty równe	Annuität	Аннуитет	Ануїтет
BMI	KMI	ĶMI	BMI	BMI	ИМТ	ІМТ
Binary	Dvejetainė	Binārā	Dwójkowy	Binär	Двоичная	Двійкова
Category	Kategorija	Kategorija	Kategoria	Kategorie	Категория	Категорія
Change	Pokytis	Izmaiņa	Zmiana	Änderung	Изменение	Зміна
Change %	Pokytis %	Izmaiņa %	Zmiana %	Änderung %	Изменение %	Зміна %
Coin	Moneta	Monēta	Moneta	Münze	Монета	Монета
Consumption l/100 km	Sąnaudos l/100 km	Patēriņš l/100 km	Spalanie l/100 km	Verbrauch l/100 km	Расход л/100 км	Витрата л/100 км
Count	Kiekis	Skaits	Liczba	Anzahl	Количество	Кількість
Date	Data	Datums	Data	Datum	Дата	Дата
Date calculator	Datų skaičiuoklė	Datumu kalkulators	Kalkulator dat	Datumsrechner	Калькулятор дат	Калькулятор дат
Day	Diena	Diena	Dzień	Tag	День	День
Day 2	Diena 2	Diena 2	Dzień 2	Tag 2	День 2	День 2
Days	Dienos	Dienas	Dni	Tage	Дни	Дні
Days between	Dienų tarp	Dienas starp	Dni pomiędzy	Tage dazwischen	Дней между	Днів між
Decimal	Dešimtainė	Decimālā	Dziesiętny	Dezimal	Десятичная	Десяткова
Decimal places	Skaitmenys po kablelio	Cipari aiz komata	Miejsca po przecinku	Nachkommastellen	Знаков после запятой	Знаків після коми
Decimal sign	Dešimtainis ženklas	Decimālzīme	Separator dziesiętny	Dezimalzeichen	Десятичный знак	Десятковий знак
Deposit	Indėlis	Noguldījums	Wkład	Einlage	Вклад	Вклад
Determinant	Determinantas	Determinants	Wyznacznik	Determinante	Определитель	Визначник
Dice	Kauliukas	Kauliņš	Kostka	Würfel	Кубик	Кубик
Digit grouping	Skaitmenų grupavimas	Ciparu grupēšana	Grupowanie cyfr	Zifferngruppierung	Группировка цифр	Групування цифр
Discount	Nuolaida	Atlaide	Rabat	Rabatt	Скидка	Знижка
Discount %	Nuolaida %	Atlaide %	Rabat %	Rabatt %	Скидка %	Знижка %
Distance km	Atstumas km	Attālums km	Dystans km	Strecke km	Расстояние км	Відстань км
Done	Baigta	Gatavs	Gotowe	Fertig	Готово	Готово
Down payment	Pradinė įmoka	Pirmā iemaksa	Wkład własny	Anzahlung	Первый взнос	Перший внесок
Each pays	Moka	Maksā	Płaci	Zahlt	Платит	Платить
Employer cost	Darbo vietos kaina	Darba devēja izmaksas	Koszt pracodawcy	Arbeitgeberkosten	Стоимость для работодателя	Вартість для роботодавця
Enter numbers	Įveskite skaičius	Ievadiet skaitļus	Wpisz liczby	Zahlen eingeben	Введите числа	Введіть числа
Estimate for 2026: 20% income tax monthly; above 36 average wages a year the extra is taxed at 25-32% in the yearly declaration.	2026 m. apytikslis skaičiavimas: kas mėnesį 20 % GPM; metinėms pajamoms viršijus 36 VDU, perviršis apmokestinamas 25-32 % per metinę deklaraciją.	Aptuvens aprēķins Lietuvai 2026. g.: katru mēnesi 20 % IIN; ja gada ienākumi pārsniedz 36 vidējās algas, pārsniegumam gada deklarācijā piemēro 25-32 %.	Szacunek dla Litwy 2026: co miesiąc 20% podatku; powyżej 36 średnich pensji rocznie nadwyżka jest opodatkowana 25-32% w rocznym zeznaniu.	Schätzung für Litauen 2026: monatlich 20 % Einkommensteuer; über 36 Durchschnittslöhnen im Jahr wird der Überschuss in der Jahreserklärung mit 25-32 % besteuert.	Оценка для Литвы 2026: ежемесячно 20 % подоходного налога; при годовом доходе выше 36 средних зарплат излишек облагается 25-32 % в годовой декларации.	Оцінка для Литви 2026: щомісяця 20 % податку; якщо річний дохід перевищує 36 середніх зарплат, надлишок оподатковується 25-32 % у річній декларації.
Extra discount %	Papildoma nuolaida %	Papildu atlaide %	Dodatkowy rabat %	Zusatzrabatt %	Доп. скидка %	Дод. знижка %
Factors	Daugikliai	Reizinātāji	Czynniki	Faktoren	Множители	Множники
Final amount	Galutinė suma	Galīgā summa	Kwota końcowa	Endbetrag	Итоговая сумма	Підсумкова сума
First payment	Pirma įmoka	Pirmais maksājums	Pierwsza rata	Erste Rate	Первый платёж	Перший платіж
From	Nuo	No	Od	Von	От	Від
From binary	Iš dvejetainės	No binārās	Z dwójkowego	Aus binär	Из двоичной	З двійкової
From decimal	Iš dešimtainės	No decimālās	Z dziesiętnego	Aus dezimal	Из десятичной	З десяткової
From hex	Iš šešioliktainės	No heksadecimālās	Z szesnastkowego	Aus hex	Из шестнадцатеричной	З шістнадцяткової
From octal	Iš aštuntainės	No oktālās	Z ósemkowego	Aus oktal	Из восьмеричной	З вісімкової
Fuel and trip cost	Kuras ir kelionės kaina	Degviela un ceļa izmaksas	Paliwo i koszt podróży	Sprit und Reisekosten	Топливо и стоимость поездки	Пальне і вартість поїздки
Fuel needed	Reikės kuro	Vajadzīgā degviela	Potrzebne paliwo	Benötigter Sprit	Нужно топлива	Потрібно пального
Fuel price €/l	Kuro kaina €/l	Degvielas cena €/l	Cena paliwa €/l	Spritpreis €/l	Цена топлива €/л	Ціна пального €/л
GCD	DBD	LKD	NWD	ggT	НОД	НСД
GCD / LCM / primes	DBD / MBK / pirminiai	LKD / MKD / pirmskaitļi	NWD / NWW / liczby pierwsze	ggT / kgV / Primzahlen	НОД / НОК / простые	НСД / НСК / прості
Graph	Grafikas	Grafiks	Wykres	Graph	График	Графік
Gross salary	Atlyginimas „ant popieriaus“	Bruto alga	Pensja brutto	Bruttogehalt	Зарплата брутто	Зарплата брутто
Gross salary €	Atlyginimas „ant popieriaus“ €	Bruto alga €	Pensja brutto €	Bruttogehalt €	Зарплата брутто €	Зарплата брутто €
Gross → net	Popieriaus → į rankas	Bruto → neto	Brutto → netto	Brutto → netto	Брутто → нетто	Брутто → нетто
Heads	Herbas	Ģerbonis	Orzeł	Kopf	Орёл	Орел
Height cm	Ūgis cm	Augums cm	Wzrost cm	Größe cm	Рост см	Зріст см
Hex	Šešioliktainė	Heksadecimālā	Szesnastkowy	Hex	Шестнадцатеричная	Шістнадцяткова
Hours	Valandos	Stundas	Godziny	Stunden	Часы	Години
Hours 2	Valandos 2	Stundas 2	Godziny 2	Stunden 2	Часы 2	Години 2
In minutes	Minutėmis	Minūtēs	W minutach	In Minuten	В минутах	У хвилинах
Income tax (GPM)	Pajamų mokestis (GPM)	Ienākuma nodoklis	Podatek dochodowy	Einkommensteuer	Подоходный налог	Податок на доходи
Interest % per year	Palūkanos % per metus	Procenti % gadā	Oprocentowanie % rocznie	Zinsen % pro Jahr	Процент годовых	Відсоток річних
Interest earned	Uždirbtos palūkanos	Nopelnītie procenti	Zarobione odsetki	Erhaltene Zinsen	Заработанные проценты	Зароблені відсотки
Interest paid	Sumokėtos palūkanos	Samaksātie procenti	Zapłacone odsetki	Gezahlte Zinsen	Выплаченные проценты	Сплачені відсотки
Invalid date	Neteisinga data	Nepareizs datums	Nieprawidłowa data	Ungültiges Datum	Неверная дата	Невірна дата
Inverse	Atvirkštinė	Inversā	Odwrotna	Inverse	Обратная	Обернена
LCM	MBK	MKD	NWW	kgV	НОК	НСК
Last payment	Paskutinė įmoka	Pēdējais maksājums	Ostatnia rata	Letzte Rate	Последний платёж	Останній платіж
Linear	Linijinis	Lineārs	Raty malejące	Linear	Дифференцированный	Диференційований
Loan / leasing	Paskola / lizingas	Kredīts / līzings	Kredyt / leasing	Kredit / Leasing	Кредит / лизинг	Кредит / лізинг
Markup	Antkainis	Uzcenojums	Marża	Aufschlag	Наценка	Націнка
Matrices	Matricos	Matricas	Macierze	Matrizen	Матрицы	Матриці
Max	Didžiausias	Maks.	Maks.	Max	Макс.	Макс.
Mean	Vidurkis	Vidējais	Średnia	Mittelwert	Среднее	Середнє
Median	Mediana	Mediāna	Mediana	Median	Медиана	Медіана
Min	Mažiausias	Min.	Min.	Min	Мин.	Мін.
Minutes	Minutės	Minūtes	Minuty	Minuten	Минуты	Хвилини
Minutes 2	Minutės 2	Minūtes 2	Minuty 2	Minuten 2	Минуты 2	Хвилини 2
Mode	Moda	Moda	Dominanta	Modus	Мода	Мода
Month	Mėnuo	Mēnesis	Miesiąc	Monat	Месяц	Місяць
Month 2	Mėnuo 2	Mēnesis 2	Miesiąc 2	Monat 2	Месяц 2	Місяць 2
Monthly compounding	Kas mėnesį	Katru mēnesi	Co miesiąc	Monatlich	Ежемесячно	Щомісяця
Monthly payment	Mėnesio įmoka	Ikmēneša maksājums	Rata miesięczna	Monatsrate	Ежемесячный платёж	Щомісячний платіж
Monthly top-up	Mėnesio papildymas	Ikmēneša papildinājums	Miesięczna wpłata	Monatliche Einzahlung	Ежемесячное пополнение	Щомісячне поповнення
Net salary	Į rankas	Neto alga	Pensja netto	Nettogehalt	Зарплата нетто	Зарплата нетто
Net → gross	Į rankas → popieriaus	Neto → bruto	Netto → brutto	Netto → brutto	Нетто → брутто	Нетто → брутто
New price	Nauja kaina	Jaunā cena	Nowa cena	Neuer Preis	Новая цена	Нова ціна
Next	Kitas	Nākamais	Dalej	Weiter	Далее	Далі
No	Ne	Nē	Nie	Nein	Нет	Ні
No single solution	Nėra vieno sprendinio	Nav viena atrisinājuma	Brak jednego rozwiązania	Keine eindeutige Lösung	Нет единственного решения	Немає єдиного розв'язку
None	Nėra	Nav	Brak	Keine	Нет	Немає
Normal weight	Normalus svoris	Normāls svars	Prawidłowa waga	Normalgewicht	Нормальный вес	Нормальна вага
Number	Skaičius	Skaitlis	Liczba	Zahl	Число	Число
Number A	Skaičius A	Skaitlis A	Liczba A	Zahl A	Число A	Число A
Number B	Skaičius B	Skaitlis B	Liczba B	Zahl B	Число B	Число B
Number systems	Skaičiavimo sistemos	Skaitīšanas sistēmas	Systemy liczbowe	Zahlensysteme	Системы счисления	Системи числення
Obesity	Nutukimas	Aptaukošanās	Otyłość	Adipositas	Ожирение	Ожиріння
Octal	Aštuntainė	Oktālā	Ósemkowy	Oktal	Восьмеричная	Вісімкова
Overweight	Antsvoris	Liekais svars	Nadwaga	Übergewicht	Избыточный вес	Надмірна вага
PSD 6.98%	PSD 6,98 %	PSD 6,98 %	PSD 6,98%	PSD 6,98 %	PSD 6,98 %	PSD 6,98 %
Pension fund	Pensijų kaupimas	Pensiju uzkrājums	Fundusz emerytalny	Rentenfonds	Пенсионный фонд	Пенсійний фонд
Pension fund %	Pensijų kaupimas %	Pensiju uzkrājums %	Fundusz emerytalny %	Rentenfonds %	Пенсионный фонд %	Пенсійний фонд %
People	Žmonės	Cilvēki	Osoby	Personen	Человек	Осіб
Percent / new value	Procentai / nauja reikšmė	Procenti / jaunā vērtība	Procent / nowa wartość	Prozent / neuer Wert	Процент / новое значение	Відсоток / нове значення
Percentages	Procentai	Procenti	Procenty	Prozente	Проценты	Відсотки
Price	Kaina	Cena	Cena	Preis	Цена	Ціна
Prime	Pirminis	Pirmskaitlis	Pierwsza	Primzahl	Простое	Просте
Random and dice	Atsitiktinis skaičius ir kauliukas	Nejaušs skaitlis un kauliņš	Losowa liczba i kostka	Zufallszahl und Würfel	Случайное число и кубик	Випадкове число і кубик
